date,value
2025-03-15,3456
2025-03-16,2245
2025-03-17,3133
2025-03-18,2046
2025-03-19,2625
2025-03-20,2026
2025-03-21,2074
2025-03-22,3296
2025-03-23,1888
2025-03-24,2642
2025-03-25,1877
2025-03-26,3378
2025-03-27,2119
2025-03-28,3334
2025-03-29,3290
2025-03-30,1873
2025-03-31,2730
2025-04-01,2075
2025-04-02,3411
2025-04-03,2212
2025-04-04,2142
2025-04-05,2037
2025-04-06,2190
2025-04-07,1816
2025-04-08,2954
2025-04-09,2159
2025-04-10,2144
2025-04-11,2021
2025-04-12,3824
2025-04-13,2087
2025-04-14,3147
2025-04-15,2135
2025-04-16,3069
2025-04-17,1993
2025-04-18,2211
2025-04-19,2791
2025-04-20,2162
2025-04-21,2293
2025-04-22,3110
2025-04-23,2222
2025-04-24,3011
2025-04-25,3618
2025-04-26,2063
2025-04-27,2994
2025-04-28,1900
2025-04-29,2219
2025-04-30,3429
2025-05-01,1168
