date,start_time,end_time,total_duration_hours
2025-04-01,00:21:00,07:26:30,7.08
2025-04-02,22:37:30,07:05:30,8.47
2025-04-03,22:33:00,07:23:30,8.83
2025-04-04,23:50:30,07:30:30,7.67
2025-04-05,23:08:30,07:50:30,8.7
2025-04-06,23:31:00,07:37:30,8.1
2025-04-07,23:31:30,00:44:30,1.22
2025-04-09,21:59:00,06:28:30,8.48
2025-04-10,23:41:00,06:43:00,7.03
2025-04-11,23:31:30,07:05:00,7.55
2025-04-12,22:35:00,08:33:30,9.97
2025-04-13,00:51:30,07:48:00,6.93
2025-04-14,22:54:00,07:18:00,8.4
2025-04-15,21:28:00,06:19:30,8.85
2025-04-16,23:20:00,06:37:00,7.28
2025-04-17,22:17:00,07:58:30,9.68
2025-04-18,00:36:30,15:27:00,10.27
2025-04-19,23:56:30,08:45:30,8.82
2025-04-20,00:39:30,08:14:30,15.16
2025-04-21,23:36:00,09:05:30,9.48
2025-04-22,22:46:00,07:52:00,9.1
2025-04-23,22:43:30,07:27:30,8.73
2025-04-24,23:55:00,08:20:30,8.42
2025-04-25,23:11:00,08:16:00,9.08
2025-04-26,06:11:30,11:02:30,9.12
2025-04-28,22:55:30,08:31:30,9.6
2025-04-29,01:37:00,08:29:30,6.87
2025-04-30,23:01:00,06:48:00,7.78
2025-05-01,23:38:00,07:04:00,7.43
